subdomain_key,subdomain_label,procedure_code,procedure_title,operation_group,operation_key,agency,submission_methods,processing_time_values,document_group_count,result_count,raw_data_available,source_url,raw_data_file
dang_kiem_phuong_tien,Đăng kiểm phương tiện,1.000010,"Đánh giá, chứng nhận năng lực cơ sở thử nghiệm, cung cấp dịch vụ kiểm tra, thử trang thiết bị an toàn và cơ sở chế tạo liên quan đến chất lượng an toàn kỹ thuật và phòng ngừa ô nhiễm môi trường tàu biển",dang_kiem_khac,danh_gia_chung_nhan_nang_luc_co_so_thu_nghiem_cung_cap_dich_vu_kiem_tra_thu_trang_thiet_bi_an_toan_va_co_so_che_tao_lien_quan_den_chat_luong_an_toan_ky_thuat_va_phong_ngua_o_nhiem_moi_truong_tau_bien,,Trực tuyến | Dịch vụ bưu chính | Trực tiếp,1 ngày làm việc | 1 ngày làm việc | 1 ngày làm việc,0,1,True,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bfe-03ae-70ab-a3d7-d87d3f86c872,C:\Users\ku060\Downloads\VAIC source\data-pipeline\raw_data\1_000010\1_000010_procedure_detail.md
dang_kiem_phuong_tien,Đăng kiểm phương tiện,1.000017,"Cấp lại Giấy chứng nhận, tem kiểm định chất lượng, an toàn kỹ thuật và bảo vệ môi trường phương tiện giao thông đường sắt",kiem_dinh_phuong_tien,cap_lai_giay_chung_nhan_tem_kiem_dinh_chat_luong_an_toan_ky_thuat_va_bao_ve_moi_truong_phuong_tien_giao_thong_duong_sat,Cục Đăng kiểm Việt Nam,Trực tuyến | Dịch vụ bưu chính | Trực tiếp,1 ngày làm việc | 1 ngày làm việc | 1 ngày làm việc,0,1,True,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bfe-03b2-74d9-b638-bab93914cf45,C:\Users\ku060\Downloads\VAIC source\data-pipeline\raw_data\1_000017\1_000017_procedure_detail.md
dang_kiem_phuong_tien,Đăng kiểm phương tiện,1.000256,Phê duyệt Bản công bố phù hợp Lao động hàng hải phần II và cấp Giấy chứng nhận Lao động hàng hải,dang_kiem_hang_hai,phe_duyet_ban_cong_bo_phu_hop_lao_dong_hang_hai_phan_ii_va_cap_giay_chung_nhan_lao_dong_hang_hai,Cục Đăng kiểm Việt Nam,Dịch vụ bưu chính | Trực tiếp,1 ngày làm việc | 1 ngày làm việc,0,2,True,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bfe-0b52-70a8-a2f8-47be3af25822,C:\Users\ku060\Downloads\VAIC source\data-pipeline\raw_data\1_000256\1_000256_procedure_detail.md
dang_kiem_phuong_tien,Đăng kiểm phương tiện,1.000300,Cấp Giấy chứng nhận thợ hàn,dang_kiem_khac,cap_giay_chung_nhan_tho_han,,Trực tuyến | Dịch vụ bưu chính | Trực tiếp,3 ngày làm việc | 3 ngày làm việc | 3 ngày làm việc,0,1,True,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bfe-0b54-765d-aeaf-c9928d274c07,C:\Users\ku060\Downloads\VAIC source\data-pipeline\raw_data\1_000300\1_000300_procedure_detail.md
dang_kiem_phuong_tien,Đăng kiểm phương tiện,1.001296,Cấp lại Giấy chứng nhận đủ điều kiện hoạt động kiểm định xe cơ giới,dieu_kien_hoat_dong_dang_kiem,cap_lai_giay_chung_nhan_du_dieu_kien_hoat_dong_kiem_dinh_xe_co_gioi,,Trực tuyến | Dịch vụ bưu chính | Trực tiếp,3 ngày làm việc | 3 ngày làm việc | 2 ngày làm việc,0,1,True,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bfe-1329-7619-933e-574bcf9fdb44,C:\Users\ku060\Downloads\VAIC source\data-pipeline\raw_data\1_001296\1_001296_procedure_detail.md
dang_kiem_phuong_tien,Đăng kiểm phương tiện,1.001319,Cấp mới Chứng chỉ đăng kiểm viên phương tiện giao thông đường bộ,dang_kiem_vien,cap_moi_chung_chi_dang_kiem_vien_phuong_tien_giao_thong_duong_bo,Cục Đăng kiểm Việt Nam; Sở Xây dựng,Trực tuyến | Dịch vụ bưu chính | Trực tiếp,5 ngày làm việc | 5 ngày làm việc | 5 ngày làm việc,2,2,True,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bfe-132d-72b9-8f45-52f0f355e906,C:\Users\ku060\Downloads\VAIC source\data-pipeline\raw_data\1_001319\1_001319_procedure_detail.md
dang_kiem_phuong_tien,Đăng kiểm phương tiện,1.001322,Cấp mới Giấy chứng nhận đủ điều kiện hoạt động kiểm định xe cơ giới,dieu_kien_hoat_dong_dang_kiem,cap_moi_giay_chung_nhan_du_dieu_kien_hoat_dong_kiem_dinh_xe_co_gioi,,Trực tuyến | Dịch vụ bưu chính | Trực tiếp,2 ngày làm việc | 2 ngày làm việc | 2 ngày làm việc,2,1,True,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bfe-1325-77bb-9bd8-7c81a9517868,C:\Users\ku060\Downloads\VAIC source\data-pipeline\raw_data\1_001322\1_001322_procedure_detail.md
dang_kiem_phuong_tien,Đăng kiểm phương tiện,1.004268,Cấp Giấy chứng nhận Lao động hàng hải tạm thời,dang_kiem_hang_hai,cap_giay_chung_nhan_lao_dong_hang_hai_tam_thoi,Cục Đăng kiểm Việt Nam,Trực tuyến | Dịch vụ bưu chính | Trực tiếp,1 ngày làm việc | 1 ngày làm việc | 1 ngày làm việc,0,1,True,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bfe-4229-7394-9af0-c1cfe14ce8b2,C:\Users\ku060\Downloads\VAIC source\data-pipeline\raw_data\1_004268\1_004268_procedure_detail.md
dang_kiem_phuong_tien,Đăng kiểm phương tiện,1.004281,Phê duyệt kế hoạch an ninh tàu biển theo Bộ luật Quốc tế về an ninh tàu biển và cảng biển (Bộ Luật ISPS),dang_kiem_hang_hai,phe_duyet_ke_hoach_an_ninh_tau_bien_theo_bo_luat_quoc_te_ve_an_ninh_tau_bien_va_cang_bien_bo_luat_isps,Cục Đăng kiểm Việt Nam; Trung tâm Chứng nhận hệ thống quản lý chất lượng và an toàn (VRQC),Dịch vụ bưu chính | Trực tiếp,1 ngày làm việc | 1 ngày làm việc,0,1,True,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bfe-4244-74ff-9a99-aec8749319b9,C:\Users\ku060\Downloads\VAIC source\data-pipeline\raw_data\1_004281\1_004281_procedure_detail.md
dang_kiem_phuong_tien,Đăng kiểm phương tiện,1.004296,Cấp Giấy chứng nhận quốc tế về an ninh tàu biển theo Bộ luật Quốc tế về an ninh tàu biển và cảng biển(Bộ luật ISPS),dang_kiem_hang_hai,cap_giay_chung_nhan_quoc_te_ve_an_ninh_tau_bien_theo_bo_luat_quoc_te_ve_an_ninh_tau_bien_va_cang_bien_bo_luat_isps,Cục Đăng kiểm Việt Nam; Trung tâm Chứng nhận hệ thống quản lý chất lượng và an toàn (VRQC),Dịch vụ bưu chính | Trực tiếp,1 ngày làm việc | 1 ngày làm việc,0,2,True,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bfe-425c-7609-a603-e0d5e4aba0b0,C:\Users\ku060\Downloads\VAIC source\data-pipeline\raw_data\1_004296\1_004296_procedure_detail.md
dang_kiem_phuong_tien,Đăng kiểm phương tiện,1.004424,Công nhận đăng kiểm viên phương tiện thủy nội địa,dang_kiem_vien,cong_nhan_dang_kiem_vien_phuong_tien_thuy_noi_dia,Cục Đăng kiểm Việt Nam,Trực tuyến | Dịch vụ bưu chính | Trực tiếp,3 ngày làm việc | 3 ngày làm việc | 3 ngày làm việc,0,1,True,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bfe-49fa-77d9-894d-a6349c4c8a1b,C:\Users\ku060\Downloads\VAIC source\data-pipeline\raw_data\1_004424\1_004424_procedure_detail.md
dang_kiem_phuong_tien,Đăng kiểm phương tiện,1.004990,"Cấp Giấy chứng nhận, tem kiểm định chất lượng, an toàn kỹ thuật và bảo vệ môi trường phương tiện giao thông đường sắt",kiem_dinh_phuong_tien,cap_giay_chung_nhan_tem_kiem_dinh_chat_luong_an_toan_ky_thuat_va_bao_ve_moi_truong_phuong_tien_giao_thong_duong_sat,Cục Đăng kiểm Việt Nam,Trực tuyến | Dịch vụ bưu chính | Trực tiếp,3 ngày làm việc | 3 ngày làm việc | 3 ngày làm việc,1,2,True,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bfe-51d0-7385-851f-f4b9a382d1c8,C:\Users\ku060\Downloads\VAIC source\data-pipeline\raw_data\1_004990\1_004990_procedure_detail.md
